publication_date,day,month,year
4/1/2000,1,4,2000
4/11/2006,11,4,2006
9/9/2003,9,9,2003
9/5/2006,5,9,2006
6/1/1994,1,6,1994
11/29/2011,29,11,2011
3/1/2003,1,3,2003
4/1/1984,1,4,1984
1/12/2007,12,1,2007
6/8/2004,8,6,2004
9/1/1995,1,9,1995
7/2/2003,2,7,2003
4/1/1998,1,4,1998
7/1/1992,1,7,1992
8/12/1988,12,8,1988
10/13/2002,13,10,2002
7/1/2003,1,7,2003
6/1/1993,1,6,1993
8/14/2007,14,8,2007
1/3/2006,3,1,2006
6/17/2003,17,6,2003
10/1/1996,1,10,1996
10/1/1996,1,10,1996
12/12/2006,12,12,2006
5/10/2005,10,5,2005
1/9/2007,9,1,2007
7/7/1992,7,7,1992
11/1/1975,1,11,1975
7/1/2004,1,7,2004
3/16/2000,16,3,2000
2/10/1997,10,2,1997
10/15/1994,15,10,1994
6/16/2006,16,6,2006
6/2/1997,2,6,1997
7/8/2003,8,7,2003
8/12/1995,12,8,1995
4/5/2000,5,4,2000
4/9/2001,9,4,2001
11/27/1990,27,11,1990
1/30/2005,30,1,2005
2/1/2001,1,2,2001
6/3/2003,3,6,2003
12/6/1993,6,12,1993
4/1/2001,1,4,2001
11/12/2002,12,11,2002
1/15/1995,15,1,1995
8/12/2003,12,8,2003
9/12/2005,12,9,2005
9/9/2003,9,9,2003
10/23/1989,23,10,1989
1/1/2004,1,1,2004
9/6/2001,6,9,2001
3/27/2007,27,3,2007
11/1/2006,1,11,2006
4/3/2007,3,4,2007
5/1/1997,1,5,1997
5/13/1999,13,5,1999
1/6/2005,6,1,2005
5/20/2002,20,5,2002
5/1/2004,1,5,2004
4/2/2002,2,4,2002
1/13/1969,13,1,1969
3/15/2000,15,3,2000
1/1/1992,1,1,1992
10/1/1998,1,10,1998
8/30/2005,30,8,2005
9/24/2001,24,9,2001
3/27/2003,27,3,2003
11/1/2004,1,11,2004
3/24/2005,24,3,2005
11/1/2005,1,11,2005
5/19/1998,19,5,1998
2/15/2000,15,2,2000
1/5/2004,5,1,2004
10/1/2005,1,10,2005
5/1/1991,1,5,1991
2/5/1992,5,2,1992
2/28/2006,28,2,2006
1/1/1999,1,1,1999
6/6/2000,6,6,2000
5/17/2007,17,5,2007
10/4/2005,4,10,2005
10/10/2005,10,10,2005
10/4/2005,4,10,2005
9/27/2005,27,9,2005
10/19/2006,19,10,2006
4/22/1988,22,4,1988
4/22/2002,22,4,2002
9/19/2006,19,9,2006
4/12/1985,12,4,1985
7/18/2006,18,7,2006
11/21/2006,21,11,2006
8/23/2005,23,8,2005
10/5/1999,5,10,1999
6/27/2006,27,6,2006
7/24/2012,24,7,2012
3/1/1998,1,3,1998
4/15/2003,15,4,2003
10/1/1996,1,10,1996
6/28/1999,28,6,1999
4/4/2006,4,4,2006
2/21/1992,21,2,1992
8/14/2005,14,8,2005
4/23/1989,23,4,1989
5/19/2004,19,5,2004
2/14/2007,14,2,2007
4/26/2005,26,4,2005
6/23/1997,23,6,1997
2/2/2004,2,2,2004
10/3/2006,3,10,2006
2/11/2003,11,2,2003
8/1/2006,1,8,2006
9/1/1988,1,9,1988
6/16/2005,16,6,2005
7/7/2003,7,7,2003
7/2/2003,2,7,2003
11/3/1999,3,11,1999
4/3/2007,3,4,2007
6/1/1996,1,6,1996
3/3/2003,3,3,2003
11/30/2001,30,11,2001
9/2/2002,2,9,2002
2/7/2006,7,2,2006
2/1/2007,1,2,2007
3/5/2002,5,3,2002
11/27/2003,27,11,2003
9/13/1991,13,9,1991
8/15/1990,15,8,1990
1/17/1997,17,1,1997
3/1/1989,1,3,1989
9/17/2006,17,9,2006
1/30/2007,30,1,2007
6/13/2006,13,6,2006
12/26/2012,26,12,2012
9/22/1999,22,9,1999
10/31/2006,31,10,2006
10/4/2005,4,10,2005
8/1/2006,1,8,2006
10/6/1998,6,10,1998
8/14/2007,14,8,2007
8/29/2006,29,8,2006
10/11/1994,11,10,1994
7/28/2005,28,7,2005
5/5/2004,5,5,2004
12/1/2006,1,12,2006
5/1/2000,1,5,2000
9/5/2006,5,9,2006
8/20/1997,20,8,1997
11/28/2006,28,11,2006
11/14/2001,14,11,2001
2/1/1991,1,2,1991
10/3/2006,3,10,2006
5/30/2006,30,5,2006
1/5/2004,5,1,2004
10/3/2006,3,10,2006
7/1/2003,1,7,2003
8/7/2007,7,8,2007
10/5/2004,5,10,2004
8/31/1998,31,8,1998
2/13/2001,13,2,2001
7/8/2003,8,7,2003
6/20/2006,20,6,2006
12/27/2005,27,12,2005
9/12/2006,12,9,2006
6/15/2006,15,6,2006
4/1/2003,1,4,2003
10/1/2006,1,10,2006
4/19/2007,19,4,2007
4/1/2008,1,4,2008
2/14/2006,14,2,2006
6/29/2006,29,6,2006
6/28/2005,28,6,2005
11/25/1999,25,11,1999
10/29/1990,29,10,1990
9/1/1998,1,9,1998
1/30/1991,30,1,1991
11/2/1999,2,11,1999
4/26/2005,26,4,2005
3/1/2008,1,3,2008
4/1/1996,1,4,1996
8/2/2005,2,8,2005
10/17/2006,17,10,2006
9/12/2006,12,9,2006
6/5/2006,5,6,2006
1/1/2001,1,1,2001
10/1/1992,1,10,1992
9/17/1990,17,9,1990
11/3/2006,3,11,2006
8/11/2000,11,8,2000
10/4/2005,4,10,2005
1/29/2004,29,1,2004
9/29/1992,29,9,1992
5/1/1986,1,5,1986
2/1/1994,1,2,1994
2/22/2007,22,2,2007
2/27/2003,27,2,2003
9/1/2003,1,9,2003
10/18/2000,18,10,2000
7/26/2005,26,7,2005
5/20/2003,20,5,2003
7/2/2002,2,7,2002
10/1/2000,1,10,2000
8/3/2004,3,8,2004
3/3/1992,3,3,1992
12/28/2004,28,12,2004
1/3/2004,3,1,2004
5/16/2003,16,5,2003
5/9/2006,9,5,2006
7/7/2003,7,7,2003
2/1/2003,1,2,2003
12/15/1992,15,12,1992
9/2/2003,2,9,2003
8/16/2001,16,8,2001
11/6/2002,6,11,2002
5/20/2002,20,5,2002
11/1/2000,1,11,2000
12/9/2003,9,12,2003
11/14/2006,14,11,2006
4/6/2004,6,4,2004
10/6/1998,6,10,1998
3/31/2003,31,3,2003
11/1/1994,1,11,1994
9/5/2006,5,9,2006
7/8/2003,8,7,2003
1/19/2006,19,1,2006
3/31/1998,31,3,1998
10/1/1985,1,10,1985
9/13/1994,13,9,1994
5/4/2004,4,5,2004
5/27/2003,27,5,2003
6/29/2004,29,6,2004
10/3/2006,3,10,2006
5/10/2005,10,5,2005
10/4/2006,4,10,2006
10/13/2003,13,10,2003
12/29/1998,29,12,1998
8/17/2011,17,8,2011
2/19/1990,19,2,1990
8/1/2006,1,8,2006
3/1/2005,1,3,2005
4/10/2007,10,4,2007
11/15/1989,15,11,1989
7/6/2005,6,7,2005
10/14/2003,14,10,2003
2/2/2004,2,2,2004
4/29/2001,29,4,2001
9/12/2006,12,9,2006
10/7/2003,7,10,2003
12/16/2002,16,12,2002
9/5/2006,5,9,2006
7/27/1999,27,7,1999
8/8/2006,8,8,2006
7/24/2007,24,7,2007
4/5/2000,5,4,2000
1/12/1994,12,1,1994
1/17/1970,17,1,1970
3/4/2003,4,3,2003
4/3/2007,3,4,2007
10/16/2003,16,10,2003
9/19/2006,19,9,2006
2/7/2005,7,2,2005
1/18/2005,18,1,2005
9/1/1999,1,9,1999
12/12/1987,12,12,1987
2/27/2007,27,2,2007
8/30/2005,30,8,2005
10/3/2002,3,10,2002
11/24/1977,24,11,1977
2/15/1994,15,2,1994
8/28/2005,28,8,2005
10/13/2003,13,10,2003
9/28/2006,28,9,2006
8/30/2005,30,8,2005
4/21/2015,21,4,2015
8/6/2002,6,8,2002
1/16/2007,16,1,2007
11/14/2006,14,11,2006
10/2/2003,2,10,2003
10/15/2003,15,10,2003
1/2/2006,2,1,2006
2/1/2007,1,2,2007
9/27/2006,27,9,2006
10/3/2006,3,10,2006
1/4/2005,4,1,2005
8/3/2004,3,8,2004
8/24/2001,24,8,2001
9/27/2004,27,9,2004
10/1/2002,1,10,2002
4/4/2002,4,4,2002
5/15/2000,15,5,2000
3/6/2007,6,3,2007
5/4/2004,4,5,2004
5/29/2007,29,5,2007
3/1/2003,1,3,2003
3/27/2012,27,3,2012
7/10/2003,10,7,2003
3/20/2007,20,3,2007
6/1/1966,1,6,1966
1/4/1999,4,1,1999
4/1/2004,1,4,2004
10/1/2006,1,10,2006
7/10/1994,10,7,1994
4/1/2004,1,4,2004
6/12/2007,12,6,2007
6/1/2000,1,6,2000
1/3/2006,3,1,2006
5/12/1997,12,5,1997
10/4/2005,4,10,2005
3/4/1999,4,3,1999
9/1/1992,1,9,1992
5/1/2005,1,5,2005
1/1/1989,1,1,1989
9/1/2006,1,9,2006
3/4/1994,4,3,1994
3/2/1993,2,3,1993
3/21/2006,21,3,2006
1/2/2002,2,1,2002
2/15/2000,15,2,2000
8/11/1990,11,8,1990
7/18/2007,18,7,2007
4/1/2003,1,4,2003
5/3/2005,3,5,2005
3/4/2004,4,3,2004
10/27/2004,27,10,2004
10/19/2003,19,10,2003
7/6/2002,6,7,2002
12/3/2002,3,12,2002
12/29/2006,29,12,2006
2/15/2000,15,2,2000
4/17/1997,17,4,1997
11/28/2006,28,11,2006
1/12/1999,12,1,1999
9/27/2005,27,9,2005
5/23/2006,23,5,2006
1/6/2005,6,1,2005
9/15/1994,15,9,1994
2/5/2002,5,2,2002
5/9/2006,9,5,2006
6/25/1998,25,6,1998
3/5/2002,5,3,2002
9/1/1994,1,9,1994
1/25/1990,25,1,1990
4/14/1995,14,4,1995
8/30/2005,30,8,2005
10/1/2001,1,10,2001
9/19/1989,19,9,1989
10/15/2013,15,10,2013
10/3/2006,3,10,2006
9/1/1998,1,9,1998
10/17/2006,17,10,2006
2/1/1982,1,2,1982
11/5/2002,5,11,2002
8/27/2002,27,8,2002
1/13/1994,13,1,1994
2/3/2004,3,2,2004
3/1/2005,1,3,2005
6/19/2004,19,6,2004
3/28/2006,28,3,2006
11/15/2004,15,11,2004
12/6/2005,6,12,2005
11/1/1999,1,11,1999
6/5/2003,5,6,2003
10/15/1995,15,10,1995
3/30/2005,30,3,2005
6/1/1996,1,6,1996
7/26/2000,26,7,2000
8/6/1996,6,8,1996
7/1/2003,1,7,2003
2/21/2005,21,2,2005
1/1/1991,1,1,1991
10/4/2005,4,10,2005
2/28/2002,28,2,2002
12/17/2002,17,12,2002
11/1/2005,1,11,2005
4/1/2005,1,4,2005
11/14/2006,14,11,2006
5/25/1993,25,5,1993
9/29/2009,29,9,2009
9/4/1990,4,9,1990
4/12/2005,12,4,2005
11/12/1999,12,11,1999
4/30/2002,30,4,2002
10/3/2006,3,10,2006
8/8/2006,8,8,2006
5/3/2005,3,5,2005
10/1/1991,1,10,1991
9/7/2000,7,9,2000
4/20/2006,20,4,2006
3/28/2006,28,3,2006
11/14/2006,14,11,2006
11/7/1996,7,11,1996
1/30/2007,30,1,2007
8/7/2001,7,8,2001
4/4/2006,4,4,2006
9/21/1994,21,9,1994
4/29/2004,29,4,2004
11/30/2004,30,11,2004
6/15/2010,15,6,2010
9/10/2002,10,9,2002
9/27/2005,27,9,2005
10/6/2002,6,10,2002
7/1/2004,1,7,2004
3/18/1964,18,3,1964
9/26/2006,26,9,2006
9/16/1997,16,9,1997
2/1/2002,1,2,2002
6/26/2003,26,6,2003
9/1/1999,1,9,1999
1/1/2007,1,1,2007
2/14/2006,14,2,2006
6/5/2007,5,6,2007
8/5/2003,5,8,2003
12/2/2005,2,12,2005
10/5/2005,5,10,2005
4/13/1999,13,4,1999
9/5/2002,5,9,2002
9/21/1995,21,9,1995
1/23/2007,23,1,2007
12/1/1977,1,12,1977
1/1/2012,1,1,2012
10/17/2006,17,10,2006
5/1/1997,1,5,1997
4/1/2006,1,4,2006
7/30/2002,30,7,2002
11/21/2006,21,11,2006
11/9/1999,9,11,1999
9/1/2006,1,9,2006
6/15/1992,15,6,1992
5/8/1997,8,5,1997
5/3/2000,3,5,2000
5/1/2003,1,5,2003
8/17/1999,17,8,1999
11/13/2002,13,11,2002
5/25/2004,25,5,2004
8/7/2007,7,8,2007
2/17/2004,17,2,2004
9/5/2006,5,9,2006
4/7/2003,7,4,2003
3/26/1997,26,3,1997
10/3/2006,3,10,2006
10/1/1998,1,10,1998
1/5/2002,5,1,2002
5/15/1989,15,5,1989
10/24/2006,24,10,2006
8/1/2005,1,8,2005
6/1/2003,1,6,2003
5/21/2001,21,5,2001
8/20/2001,20,8,2001
2/15/1995,15,2,1995
6/1/1999,1,6,1999
8/9/2002,9,8,2002
5/2/2006,2,5,2006
11/21/2006,21,11,2006
3/3/2003,3,3,2003
5/1/2006,1,5,2006
4/13/2004,13,4,2004
1/16/2001,16,1,2001
1/17/1993,17,1,1993
12/1/1992,1,12,1992
12/6/2002,6,12,2002
10/26/1972,26,10,1972
9/6/2005,6,9,2005
8/1/1999,1,8,1999
5/13/2008,13,5,2008
6/6/2006,6,6,2006
4/9/2013,9,4,2013
10/1/2000,1,10,2000
5/9/1996,9,5,1996
9/24/2002,24,9,2002
11/6/2001,6,11,2001
7/11/2006,11,7,2006
7/1/1994,1,7,1994
4/11/2006,11,4,2006
4/3/1991,3,4,1991
10/4/2005,4,10,2005
11/1/2003,1,11,2003
10/1/1999,1,10,1999
12/28/2004,28,12,2004
2/7/2006,7,2,2006
7/12/1986,12,7,1986
9/21/2004,21,9,2004
3/1/2001,1,3,2001
5/16/2001,16,5,2001
4/1/2000,1,4,2000
4/14/1992,14,4,1992
8/7/1997,7,8,1997
1/10/1992,10,1,1992
12/20/2006,20,12,2006
1/2/1998,2,1,1998
6/29/1989,29,6,1989
2/25/2003,25,2,2003
10/12/1986,12,10,1986
12/31/2002,31,12,2002
2/6/2007,6,2,2007
6/26/2007,26,6,2007
1/24/2006,24,1,2006
7/11/2006,11,7,2006
6/1/2005,1,6,2005
4/3/2006,3,4,2006
9/10/1997,10,9,1997
8/26/1976,26,8,1976
1/1/2000,1,1,2000
4/16/1999,16,4,1999
1/28/2003,28,1,2003
2/1/1999,1,2,1999
1/2/1989,2,1,1989
7/3/2000,3,7,2000
5/15/1997,15,5,1997
10/1/1995,1,10,1995
3/1/1991,1,3,1991
11/30/2004,30,11,2004
10/16/1998,16,10,1998
12/28/2004,28,12,2004
8/30/2005,30,8,2005
11/12/1997,12,11,1997
1/9/2004,9,1,2004
1/9/2007,9,1,2007
6/5/2007,5,6,2007
6/3/2003,3,6,2003
12/5/1994,5,12,1994
9/16/2002,16,9,2002
10/3/2006,3,10,2006
5/31/2005,31,5,2005
8/5/2009,5,8,2009
4/1/2004,1,4,2004
11/1/2005,1,11,2005
2/1/1992,1,2,1992
10/1/2005,1,10,2005
2/27/1999,27,2,1999
9/1/1997,1,9,1997
7/8/1999,8,7,1999
11/1/1984,1,11,1984
6/1/1988,1,6,1988
4/1/2004,1,4,2004
3/6/2007,6,3,2007
8/26/2003,26,8,2003
9/1/1993,1,9,1993
8/22/2006,22,8,2006
4/22/2004,22,4,2004
1/6/2004,6,1,2004
7/1/1995,1,7,1995
9/1/1996,1,9,1996
7/17/1993,17,7,1993
11/25/2003,25,11,2003
2/1/1998,1,2,1998
1/4/2007,4,1,2007
8/1/2001,1,8,2001
1/28/2003,28,1,2003
3/4/2009,4,3,2009
1/9/2007,9,1,2007
11/6/2003,6,11,2003
9/1/2004,1,9,2004
8/30/1990,30,8,1990
6/1/2005,1,6,2005
1/25/2001,25,1,2001
6/1/1995,1,6,1995
10/26/1987,26,10,1987
10/31/2005,31,10,2005
4/20/2004,20,4,2004
10/17/2004,17,10,2004
6/2/2005,2,6,2005
6/5/2007,5,6,2007
2/2/1988,2,2,1988
3/1/2005,1,3,2005
3/7/2002,7,3,2002
4/6/2005,6,4,2005
1/1/2004,1,1,2004
12/24/2003,24,12,2003
1/13/1994,13,1,1994
8/23/1996,23,8,1996
3/8/2005,8,3,2005
12/9/1996,9,12,1996
6/1/1953,1,6,1953
9/27/2005,27,9,2005
9/1/1992,1,9,1992
8/7/2007,7,8,2007
11/28/2006,28,11,2006
10/24/2006,24,10,2006
11/1/2005,1,11,2005
1/14/2004,14,1,2004
5/1/1994,1,5,1994
9/1/2004,1,9,2004
10/19/2004,19,10,2004
6/1/1993,1,6,1993
7/1/1997,1,7,1997
4/29/2003,29,4,2003
6/16/1998,16,6,1998
9/1/1998,1,9,1998
10/15/1996,15,10,1996
11/9/2004,9,11,2004
5/28/2002,28,5,2002
4/15/1987,15,4,1987
11/16/1983,16,11,1983
4/24/2007,24,4,2007
9/3/1957,3,9,1957
11/3/2003,3,11,2003
1/23/2007,23,1,2007
5/24/2006,24,5,2006
10/1/1999,1,10,1999
8/29/2006,29,8,2006
12/5/2006,5,12,2006
9/30/2003,30,9,2003
7/1/2005,1,7,2005
2/22/2005,22,2,2005
11/11/1997,11,11,1997
6/29/2004,29,6,2004
8/21/2001,21,8,2001
7/28/2003,28,7,2003
4/1/2004,1,4,2004
4/30/1996,30,4,1996
4/25/2006,25,4,2006
8/17/1992,17,8,1992
4/1/1988,1,4,1988
3/6/2007,6,3,2007
9/17/2003,17,9,2003
3/1/1997,1,3,1997
5/15/2005,15,5,2005
3/1/1984,1,3,1984
11/7/2006,7,11,2006
4/30/2002,30,4,2002
10/25/2002,25,10,2002
4/1/1991,1,4,1991
11/28/2006,28,11,2006
4/1/2001,1,4,2001
9/27/2005,27,9,2005
9/15/2003,15,9,2003
12/21/2004,21,12,2004
11/14/2006,14,11,2006
8/26/2003,26,8,2003
3/20/2007,20,3,2007
1/30/2001,30,1,2001
6/17/1997,17,6,1997
1/23/2007,23,1,2007
1/13/1994,13,1,1994
8/1/2004,1,8,2004
10/1/2006,1,10,2006
8/7/2007,7,8,2007
8/20/2002,20,8,2002
6/11/2002,11,6,2002
10/24/2006,24,10,2006
2/21/2004,21,2,2004
5/1/1977,1,5,1977
12/2/1999,2,12,1999
11/29/2005,29,11,2005
10/26/2004,26,10,2004
4/5/2005,5,4,2005
3/1/2005,1,3,2005
8/23/2007,23,8,2007
12/26/2006,26,12,2006
7/1/2000,1,7,2000
2/24/2000,24,2,2000
12/5/2002,5,12,2002
3/1/1998,1,3,1998
1/6/2005,6,1,2005
6/20/2002,20,6,2002
4/15/1998,15,4,1998
6/29/2007,29,6,2007
5/4/2004,4,5,2004
11/15/1999,15,11,1999
9/1/2008,1,9,2008
1/12/1994,12,1,1994
5/5/2007,5,5,2007
11/1/2001,1,11,2001
10/6/1994,6,10,1994
5/1/1993,1,5,1993
4/1/1995,1,4,1995
9/19/2000,19,9,2000
2/28/2006,28,2,2006
2/7/2006,7,2,2006
5/31/2000,31,5,2000
6/8/2004,8,6,2004
7/18/2002,18,7,2002
6/1/2000,1,6,2000
7/26/2005,26,7,2005
1/9/2007,9,1,2007
5/8/2001,8,5,2001
10/21/2009,21,10,2009
8/30/2005,30,8,2005
2/20/2001,20,2,2001
12/5/2006,5,12,2006
4/17/2000,17,4,2000
2/17/1995,17,2,1995
7/12/1991,12,7,1991
2/1/1997,1,2,1997
12/17/1996,17,12,1996
7/16/1992,16,7,1992
11/11/2003,11,11,2003
10/5/2006,5,10,2006
6/23/1972,23,6,1972
10/4/2005,4,10,2005
10/10/2006,10,10,2006
12/27/1993,27,12,1993
1/9/2007,9,1,2007
2/3/2004,3,2,2004
9/1/2010,1,9,2010
8/21/2007,21,8,2007
10/10/2000,10,10,2000
1/1/2000,1,1,2000
2/24/2000,24,2,2000
10/1/1990,1,10,1990
1/25/2005,25,1,2005
2/1/2003,1,2,2003
2/1/1993,1,2,1993
8/1/2005,1,8,2005
2/8/2005,8,2,2005
4/1/2004,1,4,2004
11/17/1999,17,11,1999
12/1/2001,1,12,2001
11/1/2005,1,11,2005
11/1/1992,1,11,1992
4/7/2005,7,4,2005
9/24/2013,24,9,2013
7/6/2001,6,7,2001
4/4/1999,4,4,1999
2/1/2006,1,2,2006
9/19/2000,19,9,2000
12/16/2008,16,12,2008
9/1/2004,1,9,2004
11/21/2006,21,11,2006
5/25/2000,25,5,2000
10/5/2006,5,10,2006
9/28/2006,28,9,2006
4/25/2006,25,4,2006
3/5/2002,5,3,2002
10/15/1995,15,10,1995
2/2/1998,2,2,1998
1/1/1984,1,1,1984
4/29/2003,29,4,2003
11/23/2006,23,11,2006
8/26/2003,26,8,2003
5/28/1998,28,5,1998
9/22/1997,22,9,1997
6/5/2003,5,6,2003
3/7/2002,7,3,2002
10/1/1979,1,10,1979
1/12/1994,12,1,1994
1/1/2002,1,1,2002
10/1/2000,1,10,2000
12/1/2000,1,12,2000
9/14/1994,14,9,1994
4/5/2005,5,4,2005
9/6/2005,6,9,2005
10/2/2001,2,10,2001
11/30/2004,30,11,2004
4/1/2004,1,4,2004
12/22/1991,22,12,1991
1/1/2005,1,1,2005
10/31/2006,31,10,2006
2/1/1992,1,2,1992
5/11/1999,11,5,1999
2/28/2006,28,2,2006
11/1/1998,1,11,1998
10/1/2005,1,10,2005
9/20/2001,20,9,2001
6/7/2005,7,6,2005
3/3/2004,3,3,2004
2/28/2006,28,2,2006
4/1/2006,1,4,2006
8/1/2006,1,8,2006
5/3/2005,3,5,2005
4/6/2004,6,4,2004
11/1/2003,1,11,2003
12/6/2005,6,12,2005
9/20/1999,20,9,1999
11/1/2005,1,11,2005
1/1/2006,1,1,2006
7/1/2003,1,7,2003
3/1/1988,1,3,1988
9/3/2003,3,9,2003
5/3/2005,3,5,2005
3/12/2002,12,3,2002
8/7/2007,7,8,2007
7/26/2005,26,7,2005
5/15/1969,15,5,1969
6/2/2005,2,6,2005
5/15/1999,15,5,1999
11/29/2005,29,11,2005
7/21/2010,21,7,2010
1/2/2007,2,1,2007
6/4/1991,4,6,1991
1/11/1994,11,1,1994
6/4/1998,4,6,1998
3/1/1975,1,3,1975
9/26/2006,26,9,2006
8/27/1996,27,8,1996
11/2/1999,2,11,1999
3/1/2005,1,3,2005
4/5/2003,5,4,2003
9/10/1993,10,9,1993
5/1/1984,1,5,1984
1/6/2004,6,1,2004
7/1/2006,1,7,2006
4/26/2005,26,4,2005
9/12/1988,12,9,1988
4/13/2004,13,4,2004
2/5/2004,5,2,2004
3/13/2007,13,3,2007
4/12/2002,12,4,2002
8/3/1990,3,8,1990
1/30/1996,30,1,1996
10/7/2003,7,10,2003
8/3/2004,3,8,2004
1/4/2005,4,1,2005
10/3/2006,3,10,2006
2/1/2003,1,2,2003
10/21/2000,21,10,2000
4/1/2006,1,4,2006
5/18/2000,18,5,2000
7/6/1999,6,7,1999
12/12/1982,12,12,1982
8/4/2003,4,8,2003
1/25/2008,25,1,2008
12/2/1999,2,12,1999
8/6/2001,6,8,2001
9/16/1999,16,9,1999
3/28/2006,28,3,2006
7/1/1991,1,7,1991
4/21/1994,21,4,1994
6/12/2007,12,6,2007
10/29/2002,29,10,2002
10/9/2006,9,10,2006
1/16/2001,16,1,2001
6/13/2006,13,6,2006
10/5/2005,5,10,2005
2/9/2004,9,2,2004
8/1/1993,1,8,1993
5/2/2002,2,5,2002
5/27/2003,27,5,2003
11/14/2006,14,11,2006
8/30/2005,30,8,2005
3/31/1995,31,3,1995
12/28/2004,28,12,2004
6/15/2004,15,6,2004
8/1/1995,1,8,1995
1/13/1989,13,1,1989
5/1/2002,1,5,2002
9/2/2000,2,9,2000
1/1/1990,1,1,1990
8/16/2004,16,8,2004
12/1/1991,1,12,1991
10/31/2006,31,10,2006
10/31/2006,31,10,2006
8/30/2005,30,8,2005
11/1/1990,1,11,1990
6/1/2004,1,6,2004
5/31/2005,31,5,2005
10/28/1999,28,10,1999
9/12/2006,12,9,2006
8/29/2006,29,8,2006
9/7/2006,7,9,2006
4/1/1985,1,4,1985
11/1/1987,1,11,1987
9/7/2006,7,9,2006
8/16/1996,16,8,1996
2/1/2000,1,2,2000
8/7/2001,7,8,2001
9/5/2006,5,9,2006
1/23/2004,23,1,2004
9/9/2003,9,9,2003
9/9/2003,9,9,2003
7/30/2002,30,7,2002
3/31/1996,31,3,1996
9/29/1996,29,9,1996
6/1/1983,1,6,1983
5/31/2005,31,5,2005
12/13/2005,13,12,2005
6/20/2006,20,6,2006
7/1/2000,1,7,2000
7/30/1972,30,7,1972
3/28/1977,28,3,1977
12/26/2006,26,12,2006
2/7/2006,7,2,2006
5/1/2005,1,5,2005
6/6/2000,6,6,2000
6/30/2004,30,6,2004
3/14/2006,14,3,2006
5/28/1980,28,5,1980
5/6/2003,6,5,2003
1/27/1999,27,1,1999
10/4/2005,4,10,2005
9/3/2002,3,9,2002
3/1/2003,1,3,2003
1/1/1991,1,1,1991
2/6/2001,6,2,2001
5/1/2009,1,5,2009
1/1/2007,1,1,2007
10/14/1994,14,10,1994
10/5/2004,5,10,2004
12/7/1999,7,12,1999
2/15/2005,15,2,2005
1/1/2002,1,1,2002
2/5/1992,5,2,1992
11/30/2004,30,11,2004
10/11/2004,11,10,2004
10/10/2001,10,10,2001
11/2/2004,2,11,2004
4/1/2005,1,4,2005
9/26/1995,26,9,1995
4/10/2002,10,4,2002
9/28/1999,28,9,1999
3/31/1995,31,3,1995
8/26/2003,26,8,2003
1/1/2006,1,1,2006
9/5/2006,5,9,2006
10/17/2003,17,10,2003
9/12/1947,12,9,1947
5/2/2006,2,5,2006
3/14/2006,14,3,2006
9/19/2006,19,9,2006
6/1/1994,1,6,1994
8/10/2004,10,8,2004
3/1/2007,1,3,2007
9/28/1993,28,9,1993
9/25/1998,25,9,1998
11/6/2002,6,11,2002
9/26/2005,26,9,2005
12/27/2005,27,12,2005
8/6/2001,6,8,2001
2/7/2006,7,2,2006
10/10/2006,10,10,2006
7/19/2004,19,7,2004
10/1/2004,1,10,2004
2/24/1998,24,2,1998
2/15/1955,15,2,1955
10/6/2004,6,10,2004
6/5/2007,5,6,2007
6/1/1999,1,6,1999
3/1/2007,1,3,2007
1/9/2007,9,1,2007
4/5/2006,5,4,2006
4/18/2006,18,4,2006
11/15/1994,15,11,1994
11/25/2003,25,11,2003
6/2/2005,2,6,2005
9/14/1993,14,9,1993
4/14/2003,14,4,2003
9/21/2004,21,9,2004
7/1/1993,1,7,1993
5/2/2005,2,5,2005
6/5/2005,5,6,2005
10/3/2006,3,10,2006
8/3/2004,3,8,2004
9/26/2007,26,9,2007
6/15/2004,15,6,2004
12/5/2002,5,12,2002
6/15/1998,15,6,1998
9/12/1987,12,9,1987
10/31/2006,31,10,2006
3/20/2007,20,3,2007
9/1/2005,1,9,2005
10/12/1962,12,10,1962
9/1/2001,1,9,2001
3/1/2007,1,3,2007
12/27/2005,27,12,2005
6/15/1985,15,6,1985
9/27/2001,27,9,2001
12/28/2004,28,12,2004
12/13/2013,13,12,2013
2/28/2007,28,2,2007
6/26/2007,26,6,2007
8/31/2004,31,8,2004
8/15/2000,15,8,2000
9/12/2006,12,9,2006
7/25/2006,25,7,2006
7/11/2005,11,7,2005
2/14/2006,14,2,2006
5/30/2006,30,5,2006
8/1/2005,1,8,2005
11/5/1993,5,11,1993
5/31/2005,31,5,2005
8/12/1959,12,8,1959
9/8/2006,8,9,2006
2/10/2001,10,2,2001
5/1/2005,1,5,2005
9/3/2002,3,9,2002
6/1/2004,1,6,2004
10/5/2005,5,10,2005
9/6/2005,6,9,2005
4/1/1996,1,4,1996
5/3/2004,3,5,2004
5/4/1999,4,5,1999
6/8/2001,8,6,2001
8/30/1961,30,8,1961
1/2/2001,2,1,2001
11/3/2004,3,11,2004
7/1/1998,1,7,1998
10/28/2003,28,10,2003
7/18/2006,18,7,2006
4/7/2015,7,4,2015
3/1/1999,1,3,1999
3/6/2003,6,3,2003
9/1/2006,1,9,2006
1/11/2005,11,1,2005
9/2/2005,2,9,2005
12/1/2001,1,12,2001
5/1/2001,1,5,2001
3/2/1993,2,3,1993
9/15/2005,15,9,2005
6/1/2006,1,6,2006
